,Year,Weather Condition,Days
0,2015,Clear,258.7
1,2015,Clouds,84.5
2,2015,Fog/Mist,2.2
3,2015,Rain,16.5
4,2015,Smoke/Haze,2.1
5,2015,Snow,1.7
6,2016,Clear,280.3
7,2016,Clouds,67.0
8,2016,Fog/Mist,1.9
9,2016,Rain,13.9
10,2016,Smoke/Haze,1.0
11,2016,Snow,2.9
12,2017,Clear,259.1
13,2017,Clouds,89.4
14,2017,Fog/Mist,0.9
15,2017,Rain,14.2
16,2017,Smoke/Haze,1.1
17,2017,Snow,0.7
18,2018,Clear,283.7
19,2018,Clouds,68.1
20,2018,Fog/Mist,1.1
21,2018,Rain,9.8
22,2018,Smoke/Haze,0.9
23,2018,Snow,1.4
