,Year,Weather Condition,Days
0,2015,Clear,165.4
1,2015,Clouds,149.8
2,2015,Fog/Mist,27.5
3,2015,Rain,8.5
4,2015,Smoke/Haze,15.5
5,2016,Clear,200.8
6,2016,Clouds,127.0
7,2016,Fog/Mist,16.0
8,2016,Rain,14.8
9,2016,Smoke/Haze,9.6
10,2017,Clear,169.6
11,2017,Clouds,130.3
12,2017,Fog/Mist,12.6
13,2017,Rain,19.5
14,2017,Smoke/Haze,36.5
15,2018,Clear,100.3
16,2018,Clouds,179.3
17,2018,Fog/Mist,30.5
18,2018,Rain,8.0
19,2018,Smoke/Haze,63.8
20,2018,Snow,0.0
